DexNum,Name,BaseStats,Types,CatchRate,EvoStage,Evs,WildHeldItem1,WildHeldItem2,WildHeldItem3,Gender(N=-1),HatchCycles,BaseFriendship,EXPGrowth,EggGroup1,EggGroup2,Ability1,Ability2,AbilityH,FormSprite,FormCount,Color,IsPresentInGame,BaseEXP,DexHeight_Weight,fields_sec1,Icon,"unused(4E,50)",fields_sec2,EvoBaseID,FormIndex,IsGalarianForm,IsBoxLegend,DexNumber,field_sec3,Unknown,field_sec4,Unused(A6)
#NaN,Example,HP~ATK~DEF~SPE~SPA~SPD,NORMAL!NORMAL,0,0,HP~ATK~DEF~SPE~SPA~SPD~UNK,0,0,0,-1,0,0,0,egggroup.egg_group_none,egggroup.egg_group_none,ability.none,ability.none,ability.none,0,0,0,0,0,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,0,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#000,Egg,0~0~0~0~0~0,NORMAL!NORMAL,0,0,0~0~0~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_NONE,BF_NONE,EGR_NONE,egggroup.egg_group_none,egggroup.egg_group_none,ability.none,ability.none,ability.none,0,0,0,1,0,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,0,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#001,Bulbasaur,45~49~49~45~65~65,GRASS!POISON,45,1,0~0~0~0~1~0~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_SLOW,egggroup.egg_group_monster,egggroup.egg_group_grass,ability.overgrow,ability.overgrow,ability.chlorophyll,0,1,3,1,64,70!69,0!12!42!179!132!66!4!0!0!20!0!65!0!0!0!0!1!0!3!0!82!12!0!0!0!8!130!33!32!0!0!0,1,0!0,0!0,1,0,0,0,1,0!14!0!16!0!19!0!25!0!30!0!0!0!0!45!0!60!0!85!50!0!0!0!0!3!0!3!0!2!3!4!4!3!3!3,1~1~1~1~1~5~5~4~4~5~2~2~4~4~5,0!0!0!0!73!0!73!0!74!73,0
#002,Ivysaur,60~62~63~60~80~80,GRASS!POISON,45,2,0~0~0~0~1~1~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_SLOW,egggroup.egg_group_monster,egggroup.egg_group_grass,ability.overgrow,ability.overgrow,ability.chlorophyll,0,1,3,1,142,100!130,0!12!42!179!132!66!4!0!0!20!0!65!0!0!0!0!1!0!3!0!82!12!0!0!0!8!130!33!32!0!0!0,2,0!0,0!0,1,0,0,0,2,0!14!0!16!0!19!0!25!0!30!0!0!0!0!50!0!60!0!80!50!0!0!0!0!2!0!3!0!2!3!4!3!3!3!2,1~1~1~1~1~5~5~3~4~4~2~2~3~4~4,0!0!0!0!202!0!73!0!74!73,0
#003,Venusaur,80~82~83~80~100~100,GRASS!POISON,45,3,0~0~0~0~2~1~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_SLOW,egggroup.egg_group_monster,egggroup.egg_group_grass,ability.overgrow,ability.overgrow,ability.chlorophyll,0,1,3,1,236,200!1000,0!15!42!179!132!66!4!0!0!20!2!65!4!0!0!0!9!0!3!4!82!13!0!0!0!8!138!33!32!0!0!0,3,0!0,0!0,1,0,0,0,3,0!14!0!16!0!19!0!25!0!30!0!0!0!0!60!0!60!0!100!60!0!0!0!0!2!0!3!0!2!3!3!3!3!2!2,1~1~1~1~1~5~5~4~5~5~2~2~4~5~5,0!0!0!0!74!0!202!0!74!202,0
#004,Charmander,39~52~43~65~60~50,FIRE!FIRE,45,1,0~0~0~1~0~0~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_SLOW,egggroup.egg_group_monster,egggroup.egg_group_dragon,ability.blaze,ability.blaze,ability.solar_power,0,1,0,1,62,60!85,43!160!96!135!228!75!1!8!18!80!0!64!0!0!0!0!2!0!7!128!16!141!17!136!136!64!0!0!32!0!0!0,4,0!0,0!0,4,0,0,0,4,0!14!0!16!0!19!0!25!0!30!0!0!0!0!40!0!50!0!75!50!0!0!0!0!1!0!2!0!1!2!3!3!3!2!2,1~1~1~1~1~5~5~3~3~4~2~2~3~3~4,0!0!0!0!83!0!108!0!83!108,0
#005,Charmeleon,58~64~58~80~80~65,FIRE!FIRE,45,2,0~0~0~1~1~0~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_SLOW,egggroup.egg_group_monster,egggroup.egg_group_dragon,ability.blaze,ability.blaze,ability.solar_power,0,1,0,1,142,110!190,43!160!96!135!228!75!1!8!18!80!0!64!0!0!0!0!2!0!7!128!16!141!17!136!136!64!0!0!32!0!0!0,5,0!0,0!0,4,0,0,0,5,0!14!0!16!0!19!0!25!0!30!0!0!0!0!50!0!60!0!80!50!0!0!0!0!1!0!2!0!1!2!3!3!3!2!2,1~1~1~1~1~5~5~3~3~4~2~2~3~3~4,0!0!0!0!83!0!108!0!83!108,0
#006,Charizard,78~84~78~100~109~85,FIRE!FLYING,45,3,0~0~0~0~3~0~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_SLOW,egggroup.egg_group_monster,egggroup.egg_group_dragon,ability.blaze,ability.blaze,ability.solar_power,0,1,0,1,240,170!905,107!171!96!199!228!75!1!8!18!80!2!208!10!0!0!0!18!0!7!132!16!141!17!138!136!64!1!0!32!3!0!0,6,0!0,0!0,4,0,0,0,6,0!14!0!16!0!19!0!25!0!30!0!0!0!0!50!0!60!0!85!50!0!0!0!0!3!0!3!0!3!3!3!3!3!2!3,1~1~1~1~2~5~5~3~4~5~2~2~3~4~5,0!0!0!0!261!0!517!0!261!517,0
#007,Squirtle,44~48~65~43~50~64,WATER!WATER,45,1,0~0~1~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_SLOW,egggroup.egg_group_monster,egggroup.egg_group_water_1,ability.torrent,ability.torrent,ability.rain_dish,0,1,1,1,63,50!90,19!128!32!139!154!106!129!8!0!16!0!64!0!0!0!0!4!0!122!0!17!140!0!96!16!65!32!0!48!0!0!0,7,0!0,0!0,7,0,0,0,7,0!14!0!16!0!19!0!25!0!30!0!0!0!0!30!0!60!0!85!40!0!0!0!0!1!0!2!0!2!2!4!4!4!3!3,1~1~1~1~1~5~5~4~4~5~2~2~4~4~5,0!0!0!0!504!0!504!0!352!504,0
#008,Wartortle,59~63~80~58~65~80,WATER!WATER,45,2,0~0~1~0~0~1~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_SLOW,egggroup.egg_group_monster,egggroup.egg_group_water_1,ability.torrent,ability.torrent,ability.rain_dish,0,1,1,1,142,100!225,19!128!32!139!154!106!129!8!0!16!0!64!0!0!0!0!4!0!122!0!17!140!0!96!16!65!32!0!48!0!0!0,8,0!0,0!0,7,0,0,0,8,0!14!0!16!0!19!0!25!0!30!0!0!0!0!40!0!60!0!85!40!0!0!0!0!1!0!3!0!3!3!3!3!3!3!3,1~1~1~1~1~5~5~4~4~5~2~2~4~4~5,0!0!0!0!504!0!401!0!352!401,0
#009,Blastoise,79~83~100~78~85~105,WATER!WATER,45,3,0~0~0~0~0~3~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_SLOW,egggroup.egg_group_monster,egggroup.egg_group_water_1,ability.torrent,ability.torrent,ability.rain_dish,0,1,1,1,239,160!855,19!131!96!139!154!106!129!8!1!16!2!64!0!0!0!0!36!0!122!4!17!141!1!96!16!69!97!0!48!0!12!0,9,0!0,0!0,7,0,0,0,9,0!14!0!16!0!19!0!25!0!30!0!0!0!0!40!0!60!0!85!50!0!0!0!0!2!0!2!0!2!2!3!3!3!2!2,1~1~1~1~1~5~5~5~5~5~2~2~5~5~5,0!0!0!0!504!0!504!0!56!504,0
#010,Caterpie,45~30~35~45~20~20,BUG!BUG,255,1,1~0~0~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_M50_2F49_8,HATCH_CYCLES_3840,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_bug,egggroup.egg_group_bug,ability.shield_dust,ability.shield_dust,ability.run_away,0,1,3,1,39,30!29,0!0!0!0!0!0!0!0!0!0!4!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,10,0!0,0!0,10,0,0,0,10,0!14!0!16!0!19!0!25!0!30!0!0!0!0!50!0!60!0!80!40!0!0!0!0!2!0!3!0!2!3!6!6!5!4!4,1~1~1~1~1~5~5~2~3~3~2~2~2~3~3,0!0!0!0!81!0!33!0!527!33,0
#011,Metapod,50~20~55~30~25~25,BUG!BUG,120,2,0~0~2~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_M50_2F49_8,HATCH_CYCLES_3840,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_bug,egggroup.egg_group_bug,ability.shed_skin,ability.shed_skin,ability.shed_skin,0,1,3,1,72,70!99,0!0!0!0!0!0!0!0!0!0!4!0!0!0!0!0!0!0!0!0!0!0!0!64!0!0!0!0!0!0!0!0,11,0!0,0!0,10,0,0,0,11,0!14!0!16!0!19!0!25!0!30!0!0!0!0!30!0!50!0!75!40!0!0!0!0!2!0!2!0!2!2!6!6!6!6!6,1~1~1~1~1~5~5~5~6~6~2~2~5~6~6,0!0!0!0!106!0!334!0!106!334,0
